Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
144,0.5837,0.6882,0.6112,0.6989
145,0.5785,0.7134,0.6570,0.6416
146,0.5674,0.7026,0.6448,0.7168
147,0.5686,0.7014,0.6532,0.6631
148,0.5853,0.6930,0.6451,0.6953
149,0.5621,0.7098,0.6105,0.7133
150,0.5697,0.7170,0.6253,0.7168
151,0.5773,0.7098,0.6604,0.7133
152,0.5730,0.7074,0.6120,0.6989
153,0.5557,0.6990,0.6225,0.7133
154,0.5894,0.7062,0.6644,0.6703
155,0.5726,0.7098,0.6268,0.7061
156,0.6008,0.6990,0.6219,0.6989
157,0.6239,0.7086,0.6352,0.6989
158,0.5877,0.7122,0.6237,0.7025
159,0.5960,0.7158,0.6442,0.6667
160,0.5814,0.6835,0.6596,0.7025
161,0.5655,0.7098,0.6379,0.6559
162,0.5914,0.7254,0.6457,0.6846
163,0.6011,0.6966,0.6173,0.7133
164,0.5880,0.7038,0.6487,0.6631
165,0.5537,0.7110,0.6668,0.6918
166,0.6010,0.7266,0.6642,0.6559
167,0.5840,0.7134,0.6415,0.7025
168,0.5661,0.7242,0.6505,0.6953
169,0.5832,0.7038,0.6421,0.7061
170,0.5606,0.7158,0.6514,0.7133
171,0.5638,0.7194,0.6789,0.6810
172,0.5690,0.7074,0.6595,0.6667
173,0.5842,0.7086,0.6751,0.6810
174,0.5519,0.7158,0.6601,0.6953
175,0.6484,0.7122,0.6868,0.6308
176,0.5922,0.6691,0.6871,0.6595
177,0.5926,0.7002,0.6222,0.6631
178,0.5818,0.7098,0.6175,0.6810
179,0.5876,0.7242,0.6200,0.6631
180,0.5660,0.7110,0.6256,0.6846
181,0.5623,0.7206,0.6404,0.6774
182,0.5538,0.7158,0.6437,0.6810
183,0.5427,0.7206,0.6500,0.6810
184,0.5536,0.7086,0.6706,0.6523
185,0.6228,0.6859,0.6184,0.7133
186,0.6079,0.6990,0.6179,0.6703
187,0.6077,0.7062,0.6193,0.6523
188,0.6151,0.6918,0.6075,0.7061
189,0.5947,0.7134,0.6154,0.6953
190,0.5733,0.7038,0.6133,0.7204
191,0.5977,0.6954,0.6227,0.6810
192,0.5735,0.6918,0.6252,0.7061
193,0.5705,0.6847,0.6293,0.6452
194,0.5731,0.7086,0.6242,0.7097
195,0.5990,0.6978,0.6230,0.6810
196,0.5880,0.6942,0.6306,0.6774
197,0.5829,0.6882,0.6339,0.6918
198,0.5604,0.7014,0.6197,0.6918
199,0.5573,0.6990,0.6446,0.6882
200,0.5753,0.7050,0.6407,0.6165
