Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
144,0.7726,0.7689,1.6484,0.5067
145,0.8852,0.8378,1.4807,0.4733
146,0.7073,0.8311,1.5588,0.4867
147,0.8697,0.8044,1.7171,0.4067
148,0.9124,0.7378,2.0462,0.3133
149,1.0992,0.7289,1.9357,0.3533
150,0.7695,0.7644,1.7128,0.4400
151,0.8154,0.7733,1.5698,0.4533
152,0.7575,0.8289,1.6413,0.4733
153,0.6392,0.8356,1.6831,0.4733
154,0.9321,0.7867,1.6957,0.4467
155,0.8598,0.7778,1.7569,0.4600
156,0.6997,0.7956,1.6050,0.4467
157,0.7436,0.8356,1.4430,0.4933
158,0.5306,0.8711,1.5256,0.4467
159,0.5831,0.8689,1.6076,0.4200
160,0.6020,0.8689,1.6115,0.4467
161,0.7072,0.8400,1.5920,0.4800
162,0.8663,0.8178,1.6566,0.4133
163,0.6949,0.7867,1.7361,0.4200
164,0.6088,0.8422,1.6415,0.4400
165,0.6975,0.8511,1.5134,0.4867
166,0.6894,0.8667,1.5380,0.4800
167,0.6406,0.8689,1.6491,0.4333
168,0.7660,0.8689,1.6433,0.4600
169,0.7027,0.8044,1.5522,0.4667
170,0.6569,0.8489,1.5528,0.4667
171,0.6668,0.8733,1.6504,0.4800
172,0.7367,0.8511,1.8657,0.4667
173,0.7424,0.8467,1.6600,0.5200
174,0.7579,0.8267,1.7027,0.4267
175,0.6062,0.8511,1.5782,0.4867
176,0.7911,0.8644,1.6690,0.4800
177,0.6696,0.8089,1.6570,0.4400
178,0.7222,0.7911,1.6909,0.4600
179,1.1443,0.7644,1.6746,0.4667
180,0.8017,0.7644,1.9207,0.3800
181,0.8598,0.7467,1.7382,0.4200
182,0.8611,0.7800,1.7186,0.4600
183,0.6096,0.8111,1.7546,0.4400
184,0.7113,0.8400,1.6652,0.4733
185,0.7781,0.8156,1.5877,0.5133
186,0.6710,0.7911,1.7226,0.4733
187,0.7455,0.8022,1.8294,0.4400
188,0.8333,0.7644,1.9030,0.4667
189,0.7867,0.7889,1.6366,0.5133
190,0.6448,0.8311,1.6345,0.5067
191,0.7778,0.8511,1.5628,0.5067
192,0.5822,0.8333,1.6915,0.4933
193,0.5410,0.8600,1.5769,0.4800
194,0.5321,0.8756,1.5997,0.4800
195,0.8107,0.8778,1.7273,0.4600
196,0.5809,0.8578,1.9469,0.4200
197,0.6926,0.8711,1.6727,0.4200
198,0.6168,0.8533,1.7216,0.4067
199,0.6305,0.8822,1.6403,0.4667
200,0.5642,0.8800,1.5266,0.4867
