Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
144,0.4791,0.8070,0.7825,0.6237
145,0.4621,0.7938,0.7510,0.6631
146,0.4690,0.7902,0.8681,0.6452
147,0.4431,0.7938,0.8121,0.6631
148,0.4588,0.7866,0.7570,0.6810
149,0.4228,0.7902,0.7797,0.6380
150,0.3847,0.8261,0.7813,0.6738
151,0.5676,0.8225,0.8077,0.6523
152,0.4281,0.7854,0.8060,0.6416
153,0.4414,0.7914,0.7279,0.6703
154,0.4027,0.8177,0.7880,0.6523
155,0.3867,0.8189,0.7700,0.6631
156,0.4289,0.8513,0.7853,0.6631
157,0.3955,0.8165,0.7739,0.6774
158,0.3909,0.8189,0.7661,0.6810
159,0.5227,0.8297,0.8574,0.6559
160,0.3861,0.8225,0.8886,0.5878
161,0.3906,0.8261,0.8106,0.6452
162,0.4808,0.8106,0.9135,0.6523
163,0.4838,0.8022,0.8266,0.6487
164,0.3744,0.8297,0.8191,0.6631
165,0.4256,0.8405,0.8673,0.6308
166,0.3613,0.8429,0.8767,0.6416
167,0.3536,0.8405,0.8238,0.6559
168,0.4224,0.8357,0.8266,0.6738
169,0.4635,0.7986,0.7831,0.6703
170,0.5112,0.7866,0.9202,0.5699
171,0.5305,0.7554,0.8958,0.6093
172,0.5776,0.7590,0.7465,0.6022
173,0.5111,0.7506,0.7188,0.6595
174,0.5561,0.7434,0.7380,0.6129
175,0.5076,0.7674,0.7317,0.6308
176,0.4855,0.7902,0.6837,0.6953
177,0.5672,0.7698,0.7987,0.6559
178,0.4694,0.7734,0.7997,0.6057
179,0.4384,0.7806,0.7841,0.6452
180,0.4504,0.7998,0.8044,0.6631
181,0.4117,0.7734,0.8306,0.6595
182,0.3975,0.8177,0.8068,0.6308
183,0.4741,0.8285,0.8455,0.6487
184,0.4810,0.8022,0.8445,0.6667
185,0.4463,0.7914,0.8881,0.6344
186,0.4461,0.8225,0.7908,0.6380
187,0.4036,0.8129,0.7862,0.6595
188,0.4006,0.8153,0.8418,0.6129
189,0.4405,0.8261,0.8044,0.6810
190,0.6527,0.8022,0.7636,0.6523
191,0.4641,0.7734,0.7676,0.6272
192,0.4615,0.7614,0.7410,0.6523
193,0.4646,0.7782,0.7310,0.6667
194,0.4309,0.8022,0.7370,0.6631
195,0.3993,0.8141,0.7683,0.6595
196,0.4052,0.7986,0.7936,0.6631
197,0.3924,0.8165,0.7523,0.6810
198,0.3892,0.8381,0.8329,0.6308
199,0.3767,0.8261,0.7772,0.6738
200,0.4388,0.8058,0.7639,0.6953
201,0.4451,0.8369,0.8097,0.6559
202,0.4153,0.8285,0.8639,0.6272
203,0.4512,0.8213,0.8788,0.6452
204,0.3961,0.8177,0.8603,0.6523
205,0.5297,0.8022,0.8225,0.6667
206,0.4084,0.8333,0.8076,0.6487
207,0.4684,0.8225,0.7617,0.6738
208,0.4188,0.8273,0.8381,0.6452
209,0.4053,0.8153,0.8643,0.6308
210,0.3716,0.8285,0.8078,0.6667
211,0.4094,0.8561,0.8596,0.6344
212,0.3485,0.8357,0.8761,0.6237
213,0.3369,0.8525,0.7910,0.6882
214,0.3739,0.8465,0.8377,0.6523
215,0.3572,0.8321,0.7616,0.6738
216,0.3721,0.8501,0.7507,0.6918
217,0.4440,0.8201,0.7900,0.6703
218,0.4047,0.8070,0.8444,0.6523
219,0.4345,0.8141,0.9153,0.6416
220,0.3899,0.8357,0.8510,0.6667
221,0.3650,0.8321,0.8339,0.6703
222,0.4833,0.8429,0.8330,0.6667
223,0.3537,0.8465,0.8943,0.6416
224,0.3459,0.8405,0.9035,0.6272
225,0.4141,0.8393,0.8938,0.6487
226,0.4619,0.8405,0.9593,0.6416
227,0.5231,0.8046,1.3307,0.5233
228,0.6702,0.7074,0.7207,0.6559
229,0.5238,0.7530,0.7318,0.6918
230,0.4725,0.7638,0.7461,0.7061
231,0.5204,0.7758,0.7072,0.6918
232,0.4734,0.7662,0.7223,0.6703
233,0.6030,0.7734,0.7095,0.7025
234,0.5066,0.7902,0.6546,0.6810
235,0.4485,0.7866,0.6266,0.7061
236,0.4248,0.8022,0.6531,0.7240
237,0.5036,0.8022,0.6904,0.6953
238,0.5378,0.7446,0.7468,0.6667
239,0.4730,0.7746,0.7185,0.6631
240,0.4334,0.7806,0.6959,0.6703
241,0.4097,0.7914,0.7514,0.6487
242,0.3980,0.8153,0.7764,0.6523
243,0.3916,0.8153,0.7631,0.6882
244,0.3755,0.8118,0.8285,0.6487
245,0.5044,0.8249,0.8350,0.6631
246,0.4058,0.8153,0.7898,0.6774
247,0.5350,0.8177,0.8263,0.6631
248,0.4189,0.7986,0.8319,0.5914
249,0.4849,0.7854,0.7378,0.6237
250,0.3963,0.8058,0.7102,0.6703
251,0.3735,0.8285,0.7177,0.7061
252,0.3601,0.8537,0.7445,0.6774
253,0.3603,0.8417,0.7949,0.6631
254,0.3681,0.8321,0.8191,0.6237
255,0.3990,0.8537,0.8488,0.6703
256,0.5190,0.7974,0.9135,0.6237
257,0.5035,0.8034,0.8259,0.6953
258,0.4693,0.8046,0.8747,0.6129
259,0.4765,0.7842,0.8950,0.5663
260,0.4231,0.8034,0.7859,0.6631
261,0.4268,0.8118,0.7952,0.6487
262,0.5046,0.8189,0.9257,0.6022
263,0.4425,0.7926,0.8219,0.6667
264,0.4174,0.7830,0.8271,0.6631
265,0.4928,0.8165,0.8320,0.6272
266,0.3881,0.7902,0.8166,0.6380
267,0.3621,0.8309,0.8561,0.6344
268,0.3786,0.8249,0.8465,0.6738
269,0.3515,0.8285,0.8599,0.6667
270,0.3454,0.8357,0.8424,0.6989
271,0.3369,0.8561,0.8222,0.6774
272,0.3640,0.8597,0.8972,0.6487
273,0.3289,0.8645,0.8735,0.6452
274,0.3941,0.8477,0.9230,0.5735
275,0.3191,0.8465,0.8497,0.6487
276,0.3415,0.8537,0.9880,0.6272
277,0.3400,0.8513,0.8721,0.7025
278,0.3641,0.8441,0.9532,0.6416
279,0.3610,0.8321,0.9429,0.6237
280,0.3332,0.8513,0.9296,0.6272
281,0.3204,0.8621,0.9406,0.6416
282,0.3324,0.8717,0.8829,0.6344
283,0.3477,0.8525,0.8474,0.6595
284,0.3976,0.8417,0.8682,0.6703
285,0.3409,0.8513,0.8823,0.6416
286,0.3274,0.8477,0.8285,0.6595
287,0.3130,0.8645,0.8986,0.6667
288,0.4058,0.8573,0.8670,0.6774
289,0.3028,0.8645,0.9727,0.6093
290,0.4208,0.8633,0.9028,0.6237
291,0.4598,0.8201,1.1006,0.5591
292,0.3474,0.8357,0.8855,0.6631
293,0.4432,0.8417,0.8594,0.6738
294,0.3328,0.8609,0.9813,0.6487
295,0.4916,0.8693,0.8632,0.6523
296,0.3578,0.8717,0.9754,0.6272
297,0.3520,0.8597,0.9261,0.6487
298,0.3207,0.8525,0.9008,0.6953
299,0.3030,0.8729,0.8446,0.6738
300,0.2787,0.8741,0.8843,0.6093
