Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
144,0.1931,0.9433,0.6351,0.7447
145,0.2693,0.9007,0.5116,0.7660
146,0.1815,0.9291,0.4803,0.7660
147,0.2392,0.9149,0.4592,0.6809
148,0.2150,0.9504,0.5306,0.7021
149,0.1792,0.9504,0.5607,0.7447
150,0.1227,0.9645,0.5655,0.6596
151,0.2220,0.9433,0.6404,0.7021
152,0.1708,0.9291,0.6867,0.6809
153,0.2026,0.8936,0.7070,0.7021
154,0.1348,0.9291,0.8727,0.6383
155,0.1822,0.9149,1.0512,0.5957
156,0.2462,0.9007,1.1272,0.6383
157,0.1912,0.9078,1.2644,0.6809
158,0.1716,0.9362,1.2105,0.7234
159,0.2246,0.9078,0.9682,0.7234
160,0.3034,0.9078,0.8959,0.7234
161,0.1634,0.8936,0.8206,0.7021
162,0.2968,0.9149,0.7665,0.7660
163,0.2803,0.9220,0.7094,0.6809
164,0.1887,0.9149,0.7558,0.6596
165,0.2043,0.9504,0.7737,0.6809
166,0.2591,0.9433,0.8161,0.6809
167,0.3256,0.9078,0.7879,0.6809
168,0.1654,0.9433,0.6670,0.7021
169,0.2029,0.9149,0.6624,0.6596
170,0.1930,0.9362,0.7246,0.6809
171,0.2292,0.9362,0.7193,0.6809
172,0.1527,0.9433,0.6376,0.7234
173,0.1482,0.9504,0.6187,0.7021
174,0.2827,0.9291,0.6087,0.7234
175,0.1497,0.9362,0.5159,0.7872
176,0.1941,0.9220,0.5006,0.8085
177,0.1564,0.9574,0.4844,0.7872
178,0.1618,0.9078,0.4860,0.8085
179,0.1595,0.9291,0.4840,0.8511
180,0.1655,0.9504,0.5034,0.8085
181,0.1387,0.9433,0.6368,0.7021
182,0.1644,0.9362,0.7688,0.6809
183,0.1501,0.9504,0.6823,0.7234
184,0.1388,0.9504,0.6591,0.7234
185,0.1358,0.9291,0.7009,0.7021
186,0.2865,0.9220,0.9294,0.6596
187,0.1953,0.9220,1.1742,0.5745
188,0.1673,0.9433,1.1052,0.5532
189,0.3353,0.9220,0.8025,0.7021
190,0.2055,0.9220,0.8920,0.6809
191,0.1942,0.9149,0.9753,0.7021
192,0.1431,0.9362,0.9816,0.6383
193,0.2343,0.9362,0.8522,0.7234
194,0.3016,0.9220,0.7473,0.7447
195,0.2238,0.9220,0.5339,0.8298
196,0.1559,0.9220,0.4774,0.8723
197,0.2493,0.8936,0.5196,0.8511
198,0.3516,0.9007,0.5419,0.8511
199,0.2660,0.9149,0.6492,0.8298
200,0.2249,0.9291,0.7248,0.8085
201,0.1423,0.9433,0.7340,0.7872
202,0.1622,0.9291,0.7001,0.8085
203,0.2660,0.8936,0.6902,0.7660
204,0.1430,0.9362,0.6606,0.7660
205,0.1845,0.9362,0.7142,0.7234
206,0.1921,0.9291,0.7460,0.7447
207,0.1262,0.9504,0.8908,0.6383
208,0.1449,0.9504,0.9214,0.6170
209,0.2262,0.9291,0.9540,0.6383
210,0.1644,0.9433,0.8061,0.6596
211,0.1511,0.9574,0.7123,0.7872
212,0.1671,0.9362,0.7282,0.7660
213,0.1978,0.9504,0.8135,0.7234
214,0.2017,0.9220,0.7327,0.7021
215,0.2016,0.9574,0.7217,0.7021
216,0.1643,0.9504,0.6426,0.7021
217,0.1828,0.9220,0.5656,0.7234
218,0.1280,0.9504,0.5349,0.7447
219,0.0985,0.9716,0.5911,0.7447
220,0.1287,0.9645,0.6003,0.7660
221,0.1412,0.9362,0.6531,0.7660
222,0.1439,0.9433,0.6672,0.7872
223,0.2189,0.9220,0.7322,0.7234
224,0.2119,0.9291,0.7183,0.7234
225,0.2350,0.9149,0.7370,0.7447
226,0.0953,0.9716,0.6893,0.7660
227,0.1570,0.9504,0.6041,0.7872
228,0.1391,0.9433,0.6433,0.7660
229,0.1729,0.9645,0.6931,0.7447
230,0.3218,0.9433,0.6969,0.7021
231,0.1462,0.9362,0.6855,0.7234
232,0.1071,0.9645,0.7101,0.7021
233,0.1946,0.9291,0.7248,0.6809
234,0.1578,0.9291,0.7678,0.7021
235,0.1654,0.9504,0.7399,0.6809
236,0.2101,0.9433,0.5955,0.7234
237,0.2194,0.9574,0.5778,0.7447
238,0.3795,0.9362,0.7281,0.7447
239,0.1076,0.9787,0.7876,0.7660
240,0.3215,0.9433,0.6432,0.8085
241,0.1231,0.9291,0.5899,0.8085
242,0.2848,0.9149,0.5488,0.8511
243,0.2497,0.9078,0.5772,0.8298
244,0.2361,0.9220,0.5068,0.7872
245,0.2835,0.9220,0.5187,0.8085
246,0.3707,0.9149,0.5489,0.8085
247,0.3145,0.8582,0.5385,0.7872
248,0.2592,0.8794,0.5561,0.7660
249,0.2617,0.8936,0.4793,0.7447
250,0.2299,0.9078,0.4049,0.7872
251,0.2003,0.9149,0.3801,0.7872
252,0.2169,0.9007,0.3709,0.8298
253,0.2389,0.9220,0.3857,0.7660
254,0.2036,0.9220,0.3554,0.8085
255,0.1599,0.9149,0.3639,0.8085
256,0.1481,0.9149,0.3738,0.8723
257,0.1849,0.9291,0.4220,0.8936
258,0.2716,0.9220,0.5144,0.7872
259,0.2245,0.9291,0.5581,0.8085
260,0.1435,0.9504,0.4850,0.8511
261,0.2178,0.9362,0.4592,0.8511
262,0.2100,0.9078,0.5032,0.8298
263,0.1570,0.9574,0.5847,0.8298
264,0.1956,0.9645,0.5303,0.8085
265,0.2806,0.9504,0.4803,0.8511
266,0.2137,0.9291,0.4739,0.8511
267,0.2537,0.9007,0.5140,0.8511
268,0.1610,0.9362,0.5420,0.8298
269,0.1215,0.9645,0.5247,0.8298
270,0.1245,0.9645,0.5219,0.8511
